rank,upc,department,name,size,price,stock,margin,rank_score,quick_seo_title,quick_description,quick_meta_description,quick_sellability_rating,quick_imageability_rating,quick_imageability_notes,quick_image_prompt,judge_sellability,judge_imageability,judge_image_match,judge_note,quick_filter_score,judge_score,selection_stage,passed_thresholds,pro_seo_title,pro_description,pro_meta_description,pro_sellability_rating,pro_imageability_rating,pro_imageability_notes,pro_image_prompt
112,088110021191,Whiskey,"Johnnie Walker 
Red Label",375 ml,16.19,22.0,3.75,55.253,Johnnie Walker Red Label 375ml - Scotch Whisky,"Johnnie Walker Red Label Scotch Whisky in a 375ml bottle. World-renowned for its bold, versatile flavor with smoky notes. Perfect for mixing in classic cocktails or enjoying on the rocks.",Buy Johnnie Walker Red Label 375ml. Iconic blended Scotch whisky. Bold and versatile. Perfect for cocktails. Order now!,10,9,"Famous brand, iconic slanted bottle.","Johnnie Walker Red Label 375ml bottle on white background, front label, amber liquid.",,,,,1149.653,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Johnnie Walker Red Label 375ml | Buy Scotch Whisky Online,"Johnnie Walker Red Label is a bold, versatile Scotch whisky with a vibrant blend of light whiskies from Scotland's east coast and peaty west coast malts. Perfect for mixing in classic cocktails like a Whisky Highball or enjoying on the rocks.",Shop Johnnie Walker Red Label 375ml. A bold Scotch whisky with a vibrant blend of east and west coast malts. Ideal for cocktails. Buy online today.,9,10,"Iconic square bottle with red label, widely recognized.","Johnnie Walker Red Label 375ml bottle, plain white background, front-facing, no people, no text overlays."
146,088110011192,Whiskey,"Johnnie Walker
 Black Label",375ml,20.29,20.0,4.68,54.508,Johnnie Walker Black Label 375ml - Scotch Whisky,"Johnnie Walker Black Label Scotch Whisky in a 375ml bottle. A world-renowned blend with rich, smooth flavors of dark fruit, vanilla, and smoke. Perfect for sipping neat or in cocktails.",Buy Johnnie Walker Black Label 375ml. Premium blended Scotch whisky. Rich and smooth. Order now!,10,9,"Iconic brand, distinctive bottle.","Johnnie Walker Black Label 375ml bottle on white background, front label, amber liquid.",,,,,1148.508,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Johnnie Walker Black Label 375ml | Premium Blended Scotch Whisky,"Johnnie Walker Black Label is a rich, smooth blended Scotch whisky aged 12 years. With layers of sweet fruit, vanilla, and a whisper of smoke, it’s perfect for sipping neat or in classic cocktails. A timeless choice for any occasion.","Buy Johnnie Walker Black Label 375ml online. This 12-year-old blended Scotch whisky offers rich, smooth flavors of fruit, vanilla, and smoke. Perfect for sipping or cocktails.",9,10,"Iconic square bottle with slanted label, black and gold design, amber liquid.","Johnnie Walker Black Label 375ml bottle, front view, plain white background, product photography, no people, no text overlays."
187,080660956053,Beer,Corona Extra,6/12oz BLT,12.29,20.0,3.07,52.853,Corona Extra 6pk 12oz - Mexican Beer,"Corona Extra 6-pack of 12oz bottles. The iconic Mexican lager with a crisp, refreshing taste. Best served cold with a lime wedge. Perfect for any occasion.",Buy Corona Extra 6pk 12oz. Classic Mexican lager. Refreshing and crisp. Order online!,10,9,Iconic clear bottle with label.,"Six Corona Extra 12oz bottles on white background, labels visible, clear glass.",,,,,1146.853,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Corona Extra Beer 6-Pack 12oz Bottles | Buy Online,"Enjoy the crisp, refreshing taste of Corona Extra, a classic Mexican lager with a smooth, balanced flavor and a hint of citrus. Perfect for beach days, barbecues, or relaxing at home. This 6-pack of 12oz bottles is ideal for sharing with friends or savoring solo.","Buy Corona Extra Beer 6-pack 12oz bottles online. Crisp, refreshing Mexican lager with a smooth finish. Perfect for any occasion. Order now for pickup or delivery.",9,10,"Iconic clear bottle with label, easy to generate.","Corona Extra 6-pack of 12oz clear glass bottles with blue and white labels, plain white background, product-only."
476,070847037828,Drinks,Monster,16Oz,4.59,24.0,1.78,48.731,Monster Energy Drink 16oz,Monster Energy Drink is a popular energy drink. 16oz can. Gives you a boost of energy. Perfect for any time of day.,Buy Monster Energy Drink 16oz. Popular energy drink. Get a boost. In stock.,9,10,Standard can,A 16oz can of Monster energy drink on white background.,,,,,1053.531,,quick_threshold,quick_sellability>=8;quick_imageability>=8,"Monster Energy Drink 16oz Can - Bold Flavor, Big Energy","Get the iconic Monster Energy boost in a 16oz can. This bold, refreshing energy drink delivers the classic Monster taste and a powerful kick to keep you going through your busiest days or late nights. Perfect for on-the-go fuel.","Monster Energy 16oz can. Bold, classic energy drink flavor with a powerful boost. Perfect for work, gaming, or late nights. Grab a can today.",9,10,"Well-known brand, standard can design, easy to visualize.","Monster Energy 16oz can, front view, plain white background, product photography, no text overlays, no people."
253,080432500118,Whiskey,Jameson Irish Whisky,1 L,43.99,12.0,10.29,50.73,Jameson Irish Whiskey 1 L - Buy Online,"Jameson Irish Whiskey is a smooth, triple-distilled blend. This 1 L bottle offers notes of vanilla, honey, and spice. Perfect for sipping neat, on the rocks, or in classic cocktails. A world-favorite whiskey.",Buy Jameson Irish Whiskey 1 L online. Smooth triple-distilled whiskey. Perfect for any occasion.,9,10,Iconic green bottle with Jameson label.,"Ecommerce product image of a Jameson Irish Whiskey 1 L bottle on white background, front view.",,,,,1053.13,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Jameson Irish Whiskey 1L | Smooth Triple-Distilled Whisky,"Jameson Irish Whiskey is a classic triple-distilled blend, known for its smooth, balanced character with hints of vanilla, toasted wood, and sweet spice. Perfect for sipping neat, on the rocks, or in cocktails. This 1-liter bottle offers great value for gatherings and home bars.",Buy Jameson Irish Whiskey 1L online. Smooth triple-distilled Irish whiskey with vanilla and spice notes. Perfect for sipping or cocktails. Great value for your home bar.,9,10,"Iconic green bottle, clear label, widely recognized.","Jameson Irish Whiskey 1L bottle, plain white background, product photography, no people."
267,085246185001,Whiskey,Marker's Mark,375ml,18.49,12.0,4.28,50.686,Maker's Mark Bourbon 375 ml - Buy Online,"Maker's Mark is a premium bourbon known for its smooth, handcrafted taste. This 375 ml bottle offers notes of vanilla and oak. The iconic red wax seal makes it instantly recognizable. Perfect for sipping.",Buy Maker's Mark Bourbon 375 ml online. Smooth handcrafted bourbon with red wax seal. Perfect for sipping.,9,10,Iconic red wax and square bottle.,"Ecommerce product image of a Maker's Mark Bourbon 375 ml bottle on white background, front view.",,,,,1053.086,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Maker's Mark 375ml Bourbon Whiskey | Smooth & Handcrafted,"Maker's Mark is a handcrafted Kentucky straight bourbon whiskey, known for its smooth, full-bodied flavor with notes of vanilla, caramel, and oak. Each 375ml bottle is sealed with signature red wax, making it a perfect gift or personal pour for any occasion.","Buy Maker's Mark 375ml bourbon whiskey. Smooth, handcrafted Kentucky straight bourbon with vanilla and caramel notes. Iconic red wax seal. Perfect for gifting or sipping.",9,10,"Iconic bottle with red wax dip, easily recognizable.","Maker's Mark 375ml bourbon bottle, red wax seal, clear glass, plain white background, product photography."
283,088110011307,Whiskey,Johnnie Walker Black,750ml,41.4,12.0,9.55,50.672,Johnnie Walker Black Label 750 ml,"Johnnie Walker Black Label is a world-famous blended scotch whisky, aged 12 years. This 750 ml bottle offers a rich, complex taste with notes of vanilla, spice, and smoke. Perfect for any occasion.",Buy Johnnie Walker Black Label 750 ml online. World-famous 12-year blended scotch. Rich and complex.,9,10,Iconic square bottle with black label.,"Ecommerce product image of a Johnnie Walker Black Label 750 ml bottle on white background, front view.",,,,,1053.072,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Johnnie Walker Black Label Blended Scotch Whisky 750ml,"Johnnie Walker Black Label is a premium blended Scotch whisky aged 12 years, offering rich notes of sweet fruit, vanilla, and a signature smoky finish. Perfect for sipping neat or in classic cocktails, this 750ml bottle delivers depth and smoothness for any occasion.","Buy Johnnie Walker Black Label 750ml online. A 12-year-old blended Scotch with rich, smoky flavor. Perfect for gifting or enjoying neat. Order now for pickup or delivery.",9,10,"Iconic square bottle with slanted label, easily recognizable.","Johnnie Walker Black Label 750ml bottle, front view, plain white background, studio lighting, no text overlays."
285,082184090442,Whiskey,Jack Daniel's Black,1L,34.3,12.0,7.91,50.671,Jack Daniel's Black Label 1 L - Buy Online,"Jack Daniel's Black Label is an iconic Tennessee whiskey, charcoal-mellowed for smoothness. This 1 L bottle offers notes of vanilla, caramel, and oak. Perfect for sipping, mixing, or gifting.",Buy Jack Daniel's Black Label 1 L online. Iconic Tennessee whiskey. Smooth with vanilla notes.,9,10,Distinctive square bottle with black label.,"Ecommerce product image of a Jack Daniel's Black Label 1 L bottle on white background, front view.",,,,,1053.071,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Jack Daniel's Black Tennessee Whiskey 1L,"Jack Daniel's Black Tennessee Whiskey is charcoal-mellowed for a smooth, distinctive character. This 1L bottle offers rich notes of caramel, vanilla, and toasted oak, with a warm, balanced finish. Perfect for sipping neat or mixing in classic cocktails.","Buy Jack Daniel's Black Tennessee Whiskey 1L online. Smooth, charcoal-mellowed whiskey with caramel and oak notes. Perfect for sipping or cocktails. Order now.",9,10,"Iconic square bottle, black label, white text, amber liquid.","Jack Daniel's Black Tennessee Whiskey 1L bottle, plain white background, product-only, no people."
292,088004009281,Whiskey,Fireball Whisky 66pf,1.75 L,25.19,12.0,5.79,50.657,Fireball Cinnamon Whisky 1.75 L - Buy Online,"Fireball Cinnamon Whisky is a popular, spiced whisky with a fiery cinnamon kick. This 1.75 L bottle is perfect for parties, shots, or mixing. A fun, bold choice for any occasion.",Buy Fireball Cinnamon Whisky 1.75 L online. Popular spiced whisky with cinnamon kick. Perfect for parties.,9,10,Iconic Fireball bottle with flame label.,"Ecommerce product image of a Fireball Cinnamon Whisky 1.75 L bottle on white background, front view.",,,,,1053.057,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Fireball Whisky 66pf 1.75 L | Cinnamon Whiskey,"Fireball Whisky delivers a fiery kick of cinnamon spice with a smooth, sweet finish. This 66-proof cinnamon whisky is perfect for shots, mixing in cocktails, or enjoying straight. The 1.75 L bottle ensures you have plenty for parties and gatherings.","Buy Fireball Whisky 66pf 1.75 L online. Cinnamon whisky with a bold, sweet heat. Great for shots and cocktails. In stock now.",9,10,"Iconic red-capped bottle with dragon logo, easily recognizable.","Fireball Whisky 1.75 L bottle with red cap and dragon label, plain white background, product-only."
304,088004026172,Whiskey,Fireball 66pf,1.75L,25.1,12.0,5.7,50.607,Fireball Cinnamon Whisky 1.75L - 66 Proof | Large Size,"Fireball Cinnamon Whisky is the fiery, sweet spirit that has taken the world by storm. This 1.75L bottle is perfect for parties and shared moments. Enjoy the bold cinnamon taste straight, on the rocks, or in a shot.","Get Fireball 1.75L at great price. Cinnamon whisky, 66 proof, large size. Perfect for parties.",9,10,Large Fireball bottle with red label.,"Fireball Cinnamon Whisky 1.75L bottle on white background, front label showing.",,,,,1053.007,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Fireball Cinnamon Whisky 66pf 1.75L,"Fireball Cinnamon Whisky delivers a fiery kick of cinnamon with a smooth, sweet finish. This 1.75L bottle at 66 proof is perfect for parties, shots, or mixing into your favorite cocktails. A bold, spicy spirit that’s always a crowd-pleaser.","Buy Fireball Cinnamon Whisky 66pf 1.75L online. Bold cinnamon flavor, smooth finish. Perfect for shots and cocktails. Great price, in stock now.",9,9,"Distinctive red-labeled bottle with dragon logo, easy to render.","Fireball Cinnamon Whisky 1.75L bottle, red label with dragon, plain white background, product photography."
337,082184090466,Whiskey,Jack Daniel's Black Label,750ml,27.03,11.0,6.03,49.895,Jack Daniel's Old No. 7 Black Label 750ml | Tennessee Whiskey,Jack Daniel's Old No. 7 Black Label is the world-famous Tennessee whiskey. This 750ml bottle offers smooth character with notes of caramel and oak. A true classic.,"Get Jack Daniel's Black Label 750ml. Classic Tennessee whiskey, smooth and iconic. Available now.",9,10,Iconic Jack Daniel's square bottle.,"Jack Daniel's Old No. 7 Black Label 750ml bottle on white background, front view.",,,,,1052.095,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Jack Daniel's Black Label Tennessee Whiskey 750ml,"Jack Daniel's Black Label is the classic Tennessee whiskey, charcoal-mellowed for smoothness. Rich notes of caramel, vanilla, and toasted oak with a warm, balanced finish. Perfect for sipping neat or mixing in timeless cocktails. A true American icon.","Buy Jack Daniel's Black Label Tennessee Whiskey 750ml online. Smooth, charcoal-mellowed with caramel and oak notes. Perfect for sipping or cocktails. Order now.",9,10,"Iconic square bottle, black label, white text, amber liquid.","Jack Daniel's Black Label Tennessee Whiskey 750ml bottle, plain white background, product-only, no people, no claims."
401,811538011426,Tequila,Jose Cuervo Tradicional Blanco,750 ml,26.29,12.0,6.05,49.662,Jose Cuervo Tradicional Blanco Tequila 750ml,"Jose Cuervo Tradicional Blanco is a classic unaged tequila. Made from blue agave, it delivers clean agave and citrus notes. Perfect for margaritas or sipping. 750ml bottle.","Buy Jose Cuervo Tradicional Blanco Tequila 750ml. Clean, crisp flavor ideal for cocktails. In stock now.",9,10,Standard tequila bottle,A 750ml bottle of Jose Cuervo Tradicional Blanco tequila on white background.,,,,,1052.062,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Jose Cuervo Tradicional Blanco Tequila 750 ml,"Jose Cuervo Tradicional Blanco is a crisp, 100% blue agave tequila with a smooth, authentic taste. Perfect for margaritas, palomas, or sipping neat, this 750 ml bottle delivers classic Mexican heritage and quality in every pour.","Buy Jose Cuervo Tradicional Blanco Tequila 750 ml online. 100% blue agave, smooth and crisp. Perfect for cocktails or sipping. Great price and in stock.",8,10,"Well-known bottle shape and label, easy to depict.","Jose Cuervo Tradicional Blanco tequila bottle, 750 ml, front view, plain white background, studio lighting."
405,811538010030,Tequila,1800 Tequila Añejo,750 ml,44.79,12.0,10.3,49.659,1800 Tequila Añejo 750ml,1800 Tequila Añejo is a premium aged tequila. Smooth with notes of vanilla and oak. Enjoy neat or in classic cocktails. 750ml bottle. 40% ABV.,Buy 1800 Tequila Añejo 750ml. Premium aged tequila with smooth vanilla and oak notes.,9,10,Standard bottle shape,A 750ml bottle of 1800 Tequila Añejo on white background.,,,,,1052.059,,quick_threshold,quick_sellability>=8;quick_imageability>=8,1800 Tequila Añejo 750ml | Premium Aged Tequila,"1800 Tequila Añejo is a premium 100% blue agave tequila aged in oak barrels for a rich, smooth taste. Notes of vanilla, caramel, and toasted oak make it perfect for sipping neat or in elevated cocktails.","Buy 1800 Tequila Añejo 750ml online. Aged in oak barrels for a smooth, rich flavor with vanilla and caramel notes. Perfect for sipping or cocktails. Order now.",8,9,"Distinctive trapezoidal bottle, amber liquid, recognizable brand.","1800 Tequila Añejo 750ml bottle on plain white background, front-facing, trapezoidal shape, amber liquid, no people, no text overlays."
409,811538011372,Tequila,Jose Cuervo Tradicional Repasado,750 ml,29.19,12.0,6.7,49.651,Jose Cuervo Tradicional Reposado 750ml,Jose Cuervo Tradicional Reposado is a rested tequila aged in oak. Smooth with notes of caramel and agave. 750ml bottle. Great for sipping or cocktails.,Buy Jose Cuervo Tradicional Reposado 750ml. Smooth reposado tequila with caramel notes.,9,10,Standard tequila bottle,A 750ml bottle of Jose Cuervo Tradicional Reposado on white background.,,,,,1052.051,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Jose Cuervo Tradicional Reposado Tequila 750 ml,"Jose Cuervo Tradicional Reposado is a 100% blue agave tequila rested in oak barrels for a smooth, balanced taste. Notes of cooked agave, vanilla, and light spice make it perfect for sipping or premium cocktails. A timeless choice for any occasion.","Buy Jose Cuervo Tradicional Reposado Tequila 750 ml online. Smooth, oak-aged 100% agave tequila with vanilla and spice notes. Great for sipping or cocktails.",9,10,"Recognizable bottle shape and label design, clear product category.","Jose Cuervo Tradicional Reposado tequila bottle, 750 ml, front view, plain white background, studio lighting, no people."
416,081128011680,Whiskey,Woodford Reserve Destiller's Select,375ml,18.79,11.0,3.85,49.567,Woodford Reserve Distiller's Select Bourbon 375ml,"Woodford Reserve Distiller's Select is a premium Kentucky straight bourbon whiskey. Known for its rich, smooth flavor. 375ml bottle. Sip neat or on the rocks.",Buy Woodford Reserve Distiller's Select Bourbon 375ml. Premium Kentucky bourbon. Shop now.,9,10,Distinct bottle,A 375ml bottle of Woodford Reserve Distiller's Select bourbon on white background.,,,,,1051.767,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Woodford Reserve Distiller's Select 375ml | Premium Bourbon,"Woodford Reserve Distiller's Select is a super-premium Kentucky straight bourbon, crafted in small batches. Rich and complex with notes of dried fruit, vanilla, and toasted oak. Its smooth, full-bodied character makes it perfect for sipping neat or in classic cocktails. A 375ml bottle for those who appreciate exceptional quality.","Buy Woodford Reserve Distiller's Select 375ml online. This premium Kentucky straight bourbon offers rich notes of dried fruit, vanilla, and oak. Perfect for sipping or cocktails. Order now.",8,9,Distinctive bottle shape and label make it highly recognizable.,"Woodford Reserve Distiller's Select 375ml bottle, plain white background, product-only, no people, no text overlays."
